area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Abbigere,2,SLtias ,1130,2,1,46.33
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1295,2,1,64.0
Super built-up  Area,Ready To Move,Kudlu Gate,3,Srier P,1535,3,2,85.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,905,2,1,65.0
Super built-up  Area,18-Jul,Bhoganhalli,2,Rosha I,1447,2,1,75.97
Super built-up  Area,Ready To Move,Hormavu,2,Nadhian,1165,2,1,40.0
Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1328,2,2,107.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2,AuRISa ,1175,2,2,35.0
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,1245,2,2,100.0
Super built-up  Area,20-Nov,Rachenahalli,2,AsNowre,985,2,1,49.97
Super built-up  Area,Ready To Move,Hoskote,3,VRiewke,1395,2,2,63.0
Super built-up  Area,18-Jan,Varthur,2,Muistry,1180,2,2,55.0
Super built-up  Area,21-Jan,Tumkur Road,3,Sapus S,1441,2,1,95.0
Super built-up  Area,Ready To Move,Channasandra Layout,2,Aconyit,1115,2,1,50.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,Goandn ,1825,3,2,145.0
Super built-up  Area,Ready To Move,Subramanyapura,3,Prldsri,1278,3,2,62.71
Super built-up  Area,Ready To Move,Whitefield,2,Pae 1ov,1190,2,1,64.0
Super built-up  Area,18-Apr,Banashankari,2,Bregae ,1430,2,2,87.8
Built-up  Area,Ready To Move,HRBR Layout,4,Aples M,1900,3,1,90.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,DSlesSp,1104,2,1,34.22
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1240,2,2,45.88
Built-up  Area,Ready To Move,Choodasandra,2,GRlpank,1140,2,2,62.0
Super built-up  Area,Ready To Move,KR Puram,3,KeureSi,1700,3,3,105.0
Super built-up  Area,Ready To Move,Canara Bank Colony,3,DencyRe,1600,2,1,90.0
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3,Sariana,1508,3,1,75.0
Super built-up  Area,18-May,Hosa Road,2,SStusan,1079,2,1,32.37
Super built-up  Area,Ready To Move,Thubarahalli,2,Soowsa ,975,2,1,50.0
Built-up  Area,Ready To Move,ISRO Layout,2,Foinade,1050,2,1,51.0
Built-up  Area,Ready To Move,Bommenahalli,3,Prood G,2940Sq. Yards,3,1,232.0
Super built-up  Area,Ready To Move,Avalahalli,4,Sohea A,2996,4,3,200.0
Plot  Area,Ready To Move,Whitefield,4,PrOakSi,2000,4,1,312.0
Super built-up  Area,Ready To Move,Bommanahalli,3,Rerelve,1416,2,1,85.0
Built-up  Area,Ready To Move,ITI Layout,3,BMityre,1602,2,1,75.0
Super built-up  Area,Ready To Move,Electronic City,2,Music C,1100,2,1,41.0
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3800,4,3,235.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,1384,2,2,76.18
Super built-up  Area,18-Apr,Sarjapur,2,SNityVe,900,2,2,27.98
Built-up  Area,Ready To Move,Kudlu,2,MJinala,1030,2,2,75.0
Built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,39.0
Super built-up  Area,Ready To Move,Old Madras Road,2,Brglede,1210,2,1,77.0
Super built-up  Area,21-Oct,Kanakpura Road,3,PrarePa,1100,3,1,58.0
Super built-up  Area,Ready To Move,Hosur Road,3,Collsrn,1370,3,3,38.36
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3951,4,3,230.0
Super built-up  Area,Ready To Move,Somasundara Palya,2,ManceEl,1186,2,1,76.0
Super built-up  Area,Ready To Move,Narayanapura,3,AriosHe,2357,3,2,135.0
Super built-up  Area,20-Jan,Yelahanka,3,Aduil T,1823,3,2,103.0
Built-up  Area,Ready To Move,Rajasree Layout,3,Itbhaa ,1310,3,3,90.0
Super built-up  Area,Ready To Move,Varthur,3,CaestSr,1520,2,2,60.0
Super built-up  Area,18-Jul,Bhoganhalli,3,Rosha I,1610,3,1,74.03
Super built-up  Area,Ready To Move,LB Shastri Nagar,3,MCrds S,1400,2,2,80.0
Super built-up  Area,18-Dec,Old Airport Road,4,Jaades ,2774,4,3,197.0
Super built-up  Area,Ready To Move,Kaggadasapura,3,ARncy R,1455,3,3,75.0
Plot  Area,Ready To Move,Chandapura,5,Arncyd ,1200,3,1,79.0
Built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1172,2,1,75.0
Super built-up  Area,Ready To Move,Rachenahalli,3,Ameur G,1856,3,3,106.0
Super built-up  Area,Ready To Move,Uttarahalli,2,Gaent R,900,2,2,35.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,ChionCo,1757,3,3,98.0
Super built-up  Area,Ready To Move,Whitefield,3,Nillsre,1626,3,3,85.0
Super built-up  Area,19-Dec,Hoodi,3,Caycend,1559,3,1,81.55
Super built-up  Area,Ready To Move,KR Puram,2,SVlesas,1200,2,1,72.0
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1174,2,1,74.0
Super built-up  Area,Ready To Move,Subramanyapura,3,Prldsri,1278,3,2,70.0
Super built-up  Area,Ready To Move,Banashankari Stage III,2,DatroGo,1085,2,1,50.0
Super built-up  Area,19-Jun,Whitefield,2,Pae 2ov,1195,2,1,61.36
Super built-up  Area,Ready To Move,Kenchenahalli,2,AriosPa,1165,2,2,45.0
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1452,3,3,60.0
Super built-up  Area,18-May,Devanahalli,2,Derdsig,1340,2,1,65.0
Super built-up  Area,Ready To Move,JCR Layout,2,ARnamru,1160,2,1,40.53
Built-up  Area,Ready To Move,Vidyaranyapura,2,DSestil,1050,2,1,50.0
Super built-up  Area,19-Dec,JP Nagar,3,Shestut,1960,3,1,138.0
Super built-up  Area,Ready To Move,Electronic City,2,MavanK ,975,2,1,32.0
Super built-up  Area,Ready To Move,Kudlu,3,MJinala,1700,3,3,125.0
Super built-up  Area,Ready To Move,Kasavanhalli,2,HMonymp,1495,2,2,110.0
Super built-up  Area,Ready To Move,Hebbal,2,Srntsha,1200,2,2,48.0
Super built-up  Area,19-Mar,Hennur Road,3,Puachal,1679,3,2,94.86
Super built-up  Area,18-Nov,Balagere,2,Soresea,1210,2,1,82.0
Super built-up  Area,Ready To Move,Keshava Nagar,3,ETens G,1623,3,3,155.0
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1115,2,1,35.8
Super built-up  Area,18-Apr,Electronics City Phase 1,2,Shitt S,1170,2,1,62.0
Super built-up  Area,Ready To Move,Malleshpalya,2,SoncyRe,1245,2,1,55.0
Built-up  Area,19-Dec,Kanakapura,2,GoityEt,1017,2,1,66.0
Super built-up  Area,18-Mar,Sarjapur  Road,2,SJityaz,1242,2,1,75.0
Super built-up  Area,18-Mar,Yelahanka,3,Miitat ,1792,3,1,104.0
Super built-up  Area,18-Dec,Electronics City Phase 1,3,Shitt S,1450,3,2,79.0
Plot  Area,Ready To Move,Bommenahalli,3,Prana S,1232,3,1,96.0
Super built-up  Area,18-Aug,Uttarahalli,2,DSera S,1065,2,1,42.6
Super built-up  Area,Ready To Move,Lake City,2,Prdenth,780,2,1,31.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,SrncyRe,1070,2,1,42.79
Super built-up  Area,Ready To Move,Haralur Road,3,NRowse ,1464,3,2,56.0
Super built-up  Area,18-Oct,Ramagondanahalli,3,DNeremo,1910,3,2,150.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,2,64.0
Super built-up  Area,Ready To Move,Varsova Layout,2,InhtsHe,1088,2,2,43.5
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1174,2,1,78.0
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,3,Prllsan,1587,3,1,73.8
Super built-up  Area,Ready To Move,Yelahanka,2,Prensya,1304,2,1,69.97
Super built-up  Area,Ready To Move,Whitefield,2,DSe 2ie,1100,2,2,65.0
Super built-up  Area,18-May,Hennur Road,3,Puachal,1482,2,1,68.9
Super built-up  Area,Ready To Move,Volagerekallahalli,2,PSterAs,1070,2,2,32.99
Super built-up  Area,Ready To Move,Whitefield,2,Bhentne,1100,2,1,46.5
Built-up  Area,Ready To Move,Whitefield,3,Hoensti,1270,2,2,65.0
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,69.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1529,3,3,51.77
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,42.0
Super built-up  Area,Ready To Move,Ananth Nagar,3,Patri M,1319,3,1,37.75
Super built-up  Area,Ready To Move,Ananth Nagar,3,Patri M,1319,3,1,42.0
Plot  Area,Ready To Move,Brookefield,3,Sotus L,2000,3,2,300.0
Super built-up  Area,18-Sep,Chandapura,2,SunceEs,985,2,1,25.12
Super built-up  Area,Ready To Move,Bharathi Nagar,2,ReudePr,1349,2,2,56.7
Super built-up  Area,Ready To Move,HSR Layout,3,SrisePo,1844,3,3,95.0
Super built-up  Area,Ready To Move,Jaya Mahal layout,3,Nehalri,2648,3,3,238.0
Built-up  Area,Ready To Move,Sanne Amanikere,3,Hoxiaa ,1455,2,1,45.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1,55.47
Super built-up  Area,18-Apr,Nagavarapalya,3,PuonsSe,1788,3,1,164.0
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,1,46.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,Goandn ,1855,3,3,140.0
Super built-up  Area,18-Aug,Kudlu Gate,3,Sanzaat,1850,3,2,120.0
Super built-up  Area,Ready To Move,Marathahalli,3,Cilip J,1315,2,2,60.0
Super built-up  Area,18-May,Whitefield,2,Prtates,1216,2,1,73.0
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3,Soosea ,1721,3,2,93.0
Super built-up  Area,17-Nov,Sonnenahalli,2,Skacak ,1059,2,1,62.0
Built-up  Area,Ready To Move,Kadubeesanahalli,2,Skesta ,1184,2,1,55.0
Super built-up  Area,Ready To Move,Koramangala,3,Proodt ,2223,3,2,300.0
Built-up  Area,Ready To Move,Kodbisanhalli,3,KSideas,1480,3,2,75.0
Super built-up  Area,18-May,Hosa Road,2,SStusan,1143,2,1,34.2
Built-up  Area,Ready To Move,Vaishnavi Layout,4,Prsisge,4800,4,3,420.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,251.0
Super built-up  Area,18-Jan,Bellandur,3,NiCodCa,1685,3,3,101.0
Built-up  Area,Ready To Move,Banashankari,3,Sksia A,1540,3,3,80.0
Super built-up  Area,18-Jan,Thanisandra,2,Bhmesy ,1265,2,1,72.0
Built-up  Area,Ready To Move,Amblipura,3,SuodsAc,1300,2,1,80.0
Super built-up  Area,Ready To Move,Sultan Palaya,2,Vaaldak,1009,2,1,65.0
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,48.0
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1125,2,1,32.49
Super built-up  Area,18-Dec,Hosa Road,2,SJerse ,1360,2,1,77.61
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1200,2,1,34.65
Super built-up  Area,Ready To Move,Bannerghatta Road,4,SNity S,2185,3,3,120.0
Built-up  Area,Ready To Move,Bagalur,4,Krton S,2400,4,3,135.0
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,67.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Gundaa ,1012,2,1,45.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,1130,2,2,85.0
Super built-up  Area,Ready To Move,Karuna Nagar,3,Ajnue A,1354,2,1,98.0
Super built-up  Area,Ready To Move,Brookefield,2,Stlomg ,1389,2,2,94.0
Plot  Area,Ready To Move,Sarjapur,4,Puodsm ,2970,3,3,130.0
Super built-up  Area,Ready To Move,Varthur,2,DSingSt,1738,2,1,57.35
Super built-up  Area,18-May,Electronic City Phase II,2,SNbay G,1160,2,1,52.2
Super built-up  Area,Ready To Move,Whitefield,2,Maoma P,1135,2,2,58.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3,MBodsen,1224,2,2,48.95
Super built-up  Area,Ready To Move,Electronic City,3,Itvir M,1160,2,2,42.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2,FoapeWa,1328,2,2,69.0
Super built-up  Area,Ready To Move,BSM Extension,2,Raave E,975,2,2,45.0
Built-up  Area,Ready To Move,Ambedkar Colony,3,RMcesa ,1907,2,1,200.0
Built-up  Area,Ready To Move,Malleshwaram,2,Beesta ,900,2,1,72.0
Built-up  Area,Ready To Move,Munnekollal,3,JRarlPe,1222,3,2,95.0
Plot  Area,Ready To Move,Dodsworth Layout,3,Prleaou,4446,3,2,410.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Ahriaup,2100,3,1,135.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Adeatlm,3335,4,3,290.0
Built-up  Area,18-Apr,Whitefield,3,Prtates,3150,3,1,290.0
Super built-up  Area,Ready To Move,Uttarahalli,3,SLnssPr,1330,2,2,46.55
Plot  Area,Ready To Move,Hosur Road,4,KrineAq,2000,4,1,130.0
Super built-up  Area,18-Jun,Electronic City Phase II,2,Coomee ,1244,2,1,55.0
Super built-up  Area,Ready To Move,Konena Agrahara,2,EsadeNS,1000,2,1,50.0
Super built-up  Area,Ready To Move,Vignana Nagar,2,Phens G,1000,2,2,35.0
Super built-up  Area,Ready To Move,Seegehalli,3,Niowshi,1683,3,3,80.0
Built-up  Area,Ready To Move,Yelahanka,2,AdniaSk,1250,2,2,54.0
Super built-up  Area,Ready To Move,Hennur Road,3,Maity W,1305,2,1,110.0
Super built-up  Area,Ready To Move,Kaggalipura,3,Baowsig,1150,2,1,57.5
Built-up  Area,Ready To Move,Kaggadasapura,3,Clsto C,1654,3,3,70.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,Eladero,1680,3,3,130.0
Super built-up  Area,18-Jul,Sarjapur  Road,3,PualeSk,1700,3,2,93.5
Super built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,1595,3,1,105.0
Super built-up  Area,Ready To Move,Hebbal,3,RMudeat,3895,3,2,390.0
Super built-up  Area,Ready To Move,Dasanapura,2,Tavenew,545,2,1,22.34
Super built-up  Area,Ready To Move,Whitefield,2,Sriffhi,1185,2,2,56.0
Super built-up  Area,18-Aug,Chandapura,2,SuVue S,1025,2,2,27.68
Super built-up  Area,Ready To Move,Haralur Road,3,DSimaUl,1730,3,1,95.0
Super built-up  Area,19-Sep,Hennur Road,3,Orens G,1450,3,1,88.6
Super built-up  Area,Ready To Move,B Narayanapura,2,Prionve,1075,2,2,50.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2,Niiewin,1060,2,1,34.0
Super built-up  Area,Ready To Move,P&T Layout,2,Sashaa ,935,2,1,45.9
Super built-up  Area,Ready To Move,Uttarahalli,2,Aklia R,1125,2,1,47.0
Built-up  Area,Ready To Move,Bannerghatta Road,3,Malmser,1725,3,3,85.0
Super built-up  Area,Ready To Move,Brookefield,3,Vaontos,1750,2,2,75.0
Built-up  Area,Ready To Move,Koramangala,3,Saa 2Ai,1745,3,3,98.0
Super built-up  Area,Ready To Move,Uttarahalli,3,Ayaya A,1270,2,2,55.25
Super built-up  Area,Ready To Move,Iblur Village,5,Emine P,5384,5,3,420.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2,NCensun,1180,2,2,72.0
Built-up  Area,Ready To Move,Shanti Nagar,2,SwionMa,1130,2,1,75.0
Super built-up  Area,18-Dec,Old Airport Road,4,Jaades ,2774,4,3,197.0
Super built-up  Area,Ready To Move,Ardendale,3,SoystAm,1723,3,2,95.0
Built-up  Area,Ready To Move,Mysore Road,2,PrntaEn,1175,2,2,70.5
Super built-up  Area,Ready To Move,Ambalipura,3,Dimes E,1607,2,2,112.0
Built-up  Area,18-May,Varanasi,2,Ocuil T,1334,2,1,62.0
Super built-up  Area,19-Mar,Bellandur,3,NiCodCa,1138,3,2,128.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,3,NaensGa,1300,2,2,58.0
Super built-up  Area,Ready To Move,Jakkur,4,Lecco C,5150,4,3,559.0
Super built-up  Area,18-May,Panathur,2,Prcesvy,1398,2,1,97.0
Built-up  Area,Ready To Move, Devarachikkanahalli,2,Sarch M,1116,2,1,47.0
Super built-up  Area,Ready To Move,Babusapalaya,2,ARngsd ,1061,2,1,33.84
Built-up  Area,Ready To Move,Yelahanka,2,Shana S,1270,2,2,57.0
Super built-up  Area,Ready To Move,Amruthahalli,2,Veiewak,1202,2,1,65.0
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,70.0
Super built-up  Area,Ready To Move,Hennur Road,2,Mileeou,1155,2,1,69.18
Super built-up  Area,Ready To Move,Hosakerehalli,3,Taonte ,2378,3,1,310.0
Super built-up  Area,Ready To Move,Hulimavu,2,MBrrySt,1011,2,2,38.0
Built-up  Area,Ready To Move,HSR Layout,2,VaiewV ,1203,2,2,72.0
Super built-up  Area,19-Dec,Hebbal,3,Raard B,1645,3,2,113.0
Super built-up  Area,Ready To Move,Horamavu Agara,3,Honcyju,1364,2,3,50.0
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1252,3,3,70.0
Super built-up  Area,Ready To Move,Jigani,3,DLhtsan,1221,3,2,65.0
Super built-up  Area,Ready To Move,Uttarahalli,3,Ayaya A,1270,2,1,55.25
Built-up  Area,Ready To Move,Sahakara Nagar,2,KVersuj,1032,2,2,45.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,NDivaOl,1515,2,3,69.0
Super built-up  Area,Ready To Move,Akshaya Vana,2,Daganva,1427,2,2,52.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1460,2,2,80.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,3,Vasisvi,1522,3,2,90.0
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,42.67
Built-up  Area,Ready To Move,Banashankari,3,Bregae ,1800,3,2,125.0
Built-up  Area,Ready To Move,Gollahalli,2,Viine P,1050,2,1,48.0
Super built-up  Area,Ready To Move,Subramanyapura,2,Prldsri,929,2,2,49.0
Super built-up  Area,Ready To Move,Whitefield,3,PaantPl,1530,3,3,75.0
Built-up  Area,Ready To Move,Sathya Sai Layout,4,Prowshi,4041,4,2,345.0
Super built-up  Area,Ready To Move,Whitefield,2,Arria G,1015,2,1,45.0
Plot  Area,18-Apr,Attibele,3,Goe 2me,1000,3,1,90.0
Plot  Area,Ready To Move,Electronic City,4,Aroveth,1800,3,2,190.0
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1185,2,2,43.66
Built-up  Area,Ready To Move,Basavangudi,3,V2lasna,1600,3,3,130.0
Super built-up  Area,Ready To Move,Yelahanka,2,Jatish ,1300,2,2,69.23
Super built-up  Area,Ready To Move,Kasavanhalli,2,MSopsw ,1100,2,1,68.0
Super built-up  Area,19-Apr,Ambalipura,2,Sisice ,860,2,1,28.93
Super built-up  Area,Ready To Move,Akshaya Nagar,2,SagasSa,1100,2,2,48.0
Super built-up  Area,Ready To Move,Whitefield,2,SMuilan,1187,2,1,38.0
Super built-up  Area,Ready To Move,Nagavara,3,Vancyat,2400,3,2,252.0
Super built-up  Area,Ready To Move,Budigere,3,PrityTr,1820,3,2,85.2
Built-up  Area,Ready To Move,Kodbisanhalli,3,KSideas,1430,3,2,70.0
Super built-up  Area,21-Jan,Kanakpura Road,2,PrarePa,700,2,1,40.0
Super built-up  Area,20-Dec,Old Madras Road,2,Shmes O,1165,2,1,40.77
Built-up  Area,18-Jul,Bellandur,3,NiCodCa,1685,3,3,115.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maantr ,1314,2,2,110.0
Built-up  Area,Ready To Move,Virudhu Nagar,2,AmthaIn,1130,2,2,68.0
Super built-up  Area,Ready To Move,Marathahalli,3,Valdsic,1550,3,2,85.0
Super built-up  Area,Ready To Move,Hoodi,3,SMaxyay,1715,2,2,100.0
Super built-up  Area,Ready To Move,Hennur Road,2,Koagati,1053,2,1,53.0
Super built-up  Area,Ready To Move,Koramangala,2,Proodt ,1320,2,1,160.0
Built-up  Area,Ready To Move,Thanisandra,3,Pronyt ,1241,2,1,65.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Vaw 1il,1090,2,2,57.0
Super built-up  Area,Ready To Move,Byrasandra,3,ViisePa,1390,2,1,50.0
Super built-up  Area,21-Dec,Kanakpura Road,3,PrarePa,1100,2,1,52.97
Built-up  Area,Ready To Move,Koramangala,2,HawerMa,1350,2,2,103.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1787,3,2,116.0
Super built-up  Area,Ready To Move,Haralur Road,4,Oznzaes,3700,4,2,325.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Klark L,1691,3,2,93.01
Super built-up  Area,18-Jul,Bhoganhalli,4,Rosha I,2119,4,3,111.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3,DLhtsnd,1896,3,2,102.0
Super built-up  Area,17-Oct,Banashankari Stage V,3,Naiewre,1540,3,2,48.51
Super built-up  Area,Ready To Move,Hormavu,3,Naandit,1365,2,2,65.0
Super built-up  Area,18-Dec,Hebbal,3,Magiaya,1355,3,2,83.87
Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,2273,3,2,145.0
Super built-up  Area,19-May,Thanisandra,3,G conTh,2050,3,2,150.0
Super built-up  Area,Ready To Move,Thigalarapalya,3,Prtanha,1830,3,2,133.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2,MamelKa,1028,2,1,56.0
Built-up  Area,Ready To Move,Old Madras Road,2,Sastaat,1300,2,2,100.0
Super built-up  Area,Ready To Move,Whitefield,2,Maoma P,1160,2,1,67.0
Super built-up  Area,Ready To Move,Janatha Colony,2,Smrryny,1100,2,2,57.6
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3,PrBayGa,2159,3,2,120.0
Super built-up  Area,18-May,Devanahalli,2,Jurdsig,1230,2,1,56.45
Super built-up  Area,Ready To Move,Dodsworth Layout,2,Chisei ,1340,2,1,71.0
Super built-up  Area,Ready To Move,Banashankari,3,Vimesar,1750,2,2,89.0
Super built-up  Area,Ready To Move,RMV Extension,3,Reion M,1675,3,3,62.0
Super built-up  Area,21-Dec,Thanisandra,2,Bhe 2ko,1340,2,1,66.33
Super built-up  Area,Ready To Move,Hulimavu,2,Vandak ,1276,2,2,76.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3,Srdor S,1738,2,3,76.0
Super built-up  Area,18-Apr,Electronic City,2,Prarkun,1128,2,1,65.45
Super built-up  Area,Ready To Move,Veersandra,2,Shnto F,1250,2,1,55.0
Built-up  Area,Ready To Move,ITI Layout,2,Soarkge,1450,2,2,90.0
Super built-up  Area,Ready To Move,Kudlu,2,MRvar S,1084,2,1,53.0
Super built-up  Area,Ready To Move,Hosur Road,2,Kelmsoy,1250,2,2,65.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,268.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,980,2,1,77.44
Super built-up  Area,Ready To Move,Ramanashree Enclave,2,Sumesa ,1275,2,2,49.5
Super built-up  Area,Ready To Move,Chikku Lakshmaiah Layout,3,Prlis A,2300,3,2,280.0
Super built-up  Area,18-May,Kanakpura Road,3,Wiowsri,1450,2,2,70.18
Super built-up  Area,Ready To Move,Electronic City,2,MVnexde,890,2,1,40.0
Super built-up  Area,Ready To Move,Kengeri,2,VBvenal,750,2,1,40.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2,DLhtsnd,1300,2,2,66.0
Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1299,2,1,105.0
Plot  Area,Ready To Move,Whitefield,4,Ieuseut,1600,4,2,300.0
Super built-up  Area,Ready To Move,Kalkere,2,Sothin ,925,2,1,55.0
Plot  Area,Ready To Move,Meenakunte,3,Sreat R,3900,3,3,250.0
Super built-up  Area,Ready To Move,Hiremath Layout,3,MadorSp,1715,3,2,95.0
Super built-up  Area,Ready To Move,Marathahalli,2,Saavean,1144,2,2,65.0
Super built-up  Area,Ready To Move,Suddaguntepalya,3,Asnex A,1400,2,2,56.0
Super built-up  Area,Ready To Move,Yelahanka,3,Prensya,1705,3,1,91.0
Super built-up  Area,Ready To Move,Marathahalli,2,Srconor,1240,2,2,55.0
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1230,2,2,44.0
Super built-up  Area,Ready To Move,Uttarahalli,3,SLnssPr,1330,2,2,46.45
Super built-up  Area,Ready To Move,Shivaji Nagar,3,FBazaah,1300,3,2,170.0
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46.0
Built-up  Area,Ready To Move,Kudlu,2,GKityde,1300,2,2,56.0
Plot  Area,18-May,Sarjapur,4,Prldsum,4201,4,3,435.0
Super built-up  Area,18-Apr,Whitefield,2,Prtates,1216,2,1,66.88
Built-up  Area,Ready To Move,Jigani,3,DLhtsen,1252,3,2,59.0
Built-up  Area,Ready To Move,Kudlu,2,Srrnasa,1027,2,2,44.0
Super built-up  Area,16-Nov,Mico Layout,2,Prs 2hi,1171,2,2,39.0
Super built-up  Area,19-Dec,Whitefield,2,Oreldhi,1180,2,1,77.0
Built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1160,2,1,33.51
Plot  Area,Ready To Move,Chikkagubbi,4,LGrldti,4382,4,3,400.0
Super built-up  Area,20-Sep,Whitefield,3,Goted U,2140,3,2,139.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3,GoandAc,1500,3,1,100.0
Super built-up  Area,Ready To Move,Banaswadi,2,Naavehi,1008,2,2,52.0
Super built-up  Area,Ready To Move,Electronic City,2,Puncyya,1127,2,2,32.0
Super built-up  Area,18-May,Rajaji Nagar,3,Pumesim,1621,3,1,124.0
Super built-up  Area,Ready To Move,Choodasandra,3,GRhtiru,1220,3,1,56.0
Built-up  Area,Ready To Move,JP Nagar,3,Meowns ,1590,2,3,85.0
Super built-up  Area,18-Aug,Hosakerehalli,3,Maunt M,1795,3,2,64.62
Super built-up  Area,18-Dec,Sarjapur  Road,4,Klark L,4395,4,2,242.0
Super built-up  Area,Ready To Move,Electronic City,2,KBityo ,825,2,1,35.0
Super built-up  Area,Ready To Move,Jalahalli,2,Tahtsla,1478,2,2,125.0
Super built-up  Area,Ready To Move,Cambridge Layout,3,Bhacy L,1669,3,2,298.0
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3,Roarkan,1820,3,2,79.5
Super built-up  Area,19-Dec,Horamavu Agara,3,Prhar G,1623,3,1,89.0
Super built-up  Area,Ready To Move,Haralur Road,2,RInceeg,1243,2,2,46.0
Super built-up  Area,Ready To Move,Electronic City,2,Elodsre,1200,2,2,40.5
Super built-up  Area,Ready To Move,Gottigere,3,Sklls C,1613,3,3,72.0
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2,Almid P,1293,2,2,80.0
Super built-up  Area,Ready To Move,Hoskote,2,Corus C,1065,2,2,28.5
Super built-up  Area,18-Apr,Kudlu Gate,2,SunetSo,940,2,1,69.57
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Trurea ,1181,2,1,65.0
Super built-up  Area,Ready To Move,Malleshwaram,3,Sariaat,2215,3,2,275.0
